Base Rules	Group	Rule Code	First-Order Logic	Markdown
R35	CWA	RC08	~(E y (Phase (y) ^ shareKind(x,y) ^ ~isSubClassOf(x,y) ^ ~isSubClassOf(y,x))) -> ~Phase(x)	$\neg (\exists y (Phase (y) \land shareKind(x,y) \land \neg isSubClassOf(x,y) \land \neg isSubClassOf(y,x))) \rightarrow \neg Phase(x)$
R36	CWA	RC09	~(E y (Category (y) ^ isSubClassOf(x,y))) -> ~PhaseMixin(x)	$\neg (\exists y (Category (y) \land isSubClassOf(x,y))) \rightarrow \neg PhaseMixin(x)$
R37	CWA	RC10	~(E z (PhaseMixin(z) ^ Category(y) ^ subClassOf(x,y) ^ ~isSubClassOf(x,z) ^ ~isSubClassOf(z,x) ^ isSubClassOf(z,y))) -> ~PhaseMixin(x)	$\neg (\exists z (PhaseMixin(z) \land Category(y) \land subClassOf(x,y) \land \neg isSubClassOf(x,z) \land \neg isSubClassOf(z,x) \land isSubClassOf(z,y))) \rightarrow \neg PhaseMixin(x)$
R37	CWA	RC11	~(E z (PhaseMixin(z) ^ PhaseMixin(x) ^ subClassOf(x,y) ^ ~isSubClassOf(x,z) ^ ~isSubClassOf(z,x) ^ isSubClassOf(z,y))) -> ~Category(y)	$\neg (\exists z (PhaseMixin(z) \land PhaseMixin(x) \land subClassOf(x,y) \land \neg isSubClassOf(x,z) \land \neg isSubClassOf(z,x) \land isSubClassOf(z,y))) \rightarrow \neg Category(y)$
R17	gUFO Leaves	RL01	RigidType(x) ^ ~Kind(x) ^ ~SubKind(x) -> Category(x)	$RigidType(x) \land \neg Kind(x) \land \neg SubKind(x) \rightarrow Category(x)$
R17	gUFO Leaves	RL02	RigidType(x) ^ ~SubKind(x) ^ ~Category(x) -> Kind(x)	$RigidType(x) \land \neg SubKind(x) \land \neg Category(x) \rightarrow Kind(x)$
R17	gUFO Leaves	RL03	RigidType(x) ^ ~Kind(x) ^ ~Category(x) -> SubKind(x)	$RigidType(x) \land \neg Kind(x) \land \neg Category(x) \rightarrow SubKind(x)$
R18	gUFO Leaves	RL04	AntiRigidType(x) ^ ~Phase(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x) -> Role(x)	$AntiRigidType(x) \land \neg Phase(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x) \rightarrow Role(x)$
R18	gUFO Leaves	RL05	AntiRigidType(x) ^ ~Role(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x) -> Phase(x)	$AntiRigidType(x) \land \neg Role(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x) \rightarrow Phase(x)$
R18	gUFO Leaves	RL06	AntiRigidType(x) ^ ~Role(x) ^ ~Phase(x) ^ ~PhaseMixin(x) -> RoleMixin(x)	$AntiRigidType(x) \land \neg Role(x) \land \neg Phase(x) \land \neg PhaseMixin(x) \rightarrow RoleMixin(x)$
R18	gUFO Leaves	RL07	AntiRigidType(x) ^ ~Role(x) ^ ~Phase(x) ^ ~RoleMixin(x) -> PhaseMixin(x)	$AntiRigidType(x) \land \neg Role(x) \land \neg Phase(x) \land \neg RoleMixin(x) \rightarrow PhaseMixin(x)$
R20	gUFO Leaves	RL08	Sortal(x) ^ ~Phase(x) ^ ~Role(x) ^ ~SubKind(x) -> Kind(x)	$Sortal(x) \land \neg Phase(x) \land \neg Role(x) \land \neg SubKind(x) \rightarrow Kind(x)$
R20	gUFO Leaves	RL09	Sortal(x) ^ ~Kind(x) ^ ~Role(x) ^ ~SubKind(x) -> Phase(x)	$Sortal(x) \land \neg Kind(x) \land \neg Role(x) \land \neg SubKind(x) \rightarrow Phase(x)$
R20	gUFO Leaves	RL10	Sortal(x) ^ ~Kind(x) ^ ~Phase(x) ^ ~SubKind(x) -> Role(x)	$Sortal(x) \land \neg Kind(x) \land \neg Phase(x) \land \neg SubKind(x) \rightarrow Role(x)$
R20	gUFO Leaves	RL11	Sortal(x) ^ ~Kind(x) ^ ~Phase(x) ^ ~Role(x) -> SubKind(x)	$Sortal(x) \land \neg Kind(x) \land \neg Phase(x) \land \neg Role(x) \rightarrow SubKind(x)$
R21	gUFO Leaves	RL12	NonSortal(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) ^ ~Mixin(x) -> Category(x)	$NonSortal(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \land \neg Mixin(x) \rightarrow Category(x)$
R21	gUFO Leaves	RL13	NonSortal(x) ^ ~Category(x) ^ ~RoleMixin(x) ^ ~Mixin(x) -> PhaseMixin(x)	$NonSortal(x) \land \neg Category(x) \land \neg RoleMixin(x) \land \neg Mixin(x) \rightarrow PhaseMixin(x)$
R21	gUFO Leaves	RL14	NonSortal(x) ^ ~Category(x) ^ ~PhaseMixin(x) ^ ~Mixin(x) -> RoleMixin(x)	$NonSortal(x) \land \neg Category(x) \land \neg PhaseMixin(x) \land \neg Mixin(x) \rightarrow RoleMixin(x)$
R21	gUFO Leaves	RL15	NonSortal(x) ^ ~Category(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) -> Mixin(x)	$NonSortal(x) \land \neg Category(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \rightarrow Mixin(x)$
R03	gUFO Negative	RN01	~NonRigidType(x) -> RigidType(x) 	$\neg NonRigidType(x) \rightarrow RigidType(x)$
R03, R04	gUFO Negative	RN02	~AntiRigidType(x) ^ ~SemiRigidType(x) -> RigidType(x) 	$\neg AntiRigidType(x) \land \neg SemiRigidType(x) \rightarrow RigidType(x)$
R03, R04, R17, R18	gUFO Negative	RN03	~Category(x) ^ ~Kind(x) ^ ~SubKind(x) ^ ~Role(x) ^ ~Phase(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x) -> SemiRigidType(x)	$\neg Category(x) \land \neg Kind(x) \land \neg SubKind(x) \land \neg Role(x) \land \neg Phase(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x) \rightarrow SemiRigidType(x)$
R03, R04, R17, R19	gUFO Negative	RN04	~Category(x) ^ ~Kind(x) ^ ~SubKind(x) ^ ~Mixin(x) -> AntiRigidType(x) 	$\neg Category(x) \land \neg Kind(x) \land \neg SubKind(x) \land \neg Mixin(x) \rightarrow AntiRigidType(x)$
R03, R04, R18, R19	gUFO Negative	RN05	~Role(x) ^ ~Phase(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x) ^ ~Mixin(x) -> RigidType(x) 	$\neg Role(x) \land \neg Phase(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x) \land \neg Mixin(x) \rightarrow RigidType(x)$
R03, R06, R08, R12	gUFO Negative	RN06	~RigidType(x) -> NonRigidType(x) ^ ~Kind(x) ^ ~SubKind(x) ^ ~Category(x)	$\neg RigidType(x) \rightarrow NonRigidType(x) \land \neg Kind(x) \land \neg SubKind(x) \land \neg Category(x)$
R05, R06, R07, R09, R10	gUFO Negative	RN07	~Sortal(x) -> NonSortal(x) ^ ~Kind(x) ^ ~SubKind(x) ^ ~Role(x) ^ ~Phase(x)	$\neg Sortal(x) \rightarrow NonSortal(x) \land \neg Kind(x) \land \neg SubKind(x) \land \neg Role(x) \land \neg Phase(x)$
R05, R12, R13, R14, R16	gUFO Negative	RN08	~NonSortal(x) -> Sortal(x) ^ ~Category(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) ^ ~Mixin(x)	$\neg NonSortal(x) \rightarrow Sortal(x) \land \neg Category(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \land \neg Mixin(x)$
R05, R20	gUFO Negative	RN09	~Kind(x) ^ ~Phase(x) ^ ~Role(x) ^ ~SubKind(x) -> NonSortal(x)	$\neg Kind(x) \land \neg Phase(x) \land \neg Role(x) \land \neg SubKind(x) \rightarrow NonSortal(x)$
R05, R21	gUFO Negative	RN10	~Category(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) ^ ~Mixin(x) -> Sortal(x)	$\neg Category(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \land \neg Mixin(x) \rightarrow Sortal(x)$
R09, R10, R13, R14	gUFO Negative	RN11	~AntiRigidType(x) -> ~Role(x) ^ ~Phase(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x)	$\neg AntiRigidType(x) \rightarrow \neg Role(x) \land \neg Phase(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x)$
R19	gUFO Negative	RN12	~Mixin(x) -> ~SemiRigidType	$\neg Mixin(x) \rightarrow \neg SemiRigidType$
R03	gUFO Positive	RP01	NonRigidType(x) -> ~RigidType(x) 	$NonRigidType(x) \rightarrow \neg RigidType(x)$
R03, R04, R17	gUFO Positive	RP02	RigidType(x) -> ~NonRigidType(x) ^ ~AntiRigidType(x) ^ ~SemiRigidType(x) ^ ~Role(x) ^ ~Phase(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x) ^ ~Mixin(x) 	$RigidType(x) \rightarrow \neg NonRigidType(x) \land \neg AntiRigidType(x) \land \neg SemiRigidType(x) \land \neg Role(x) \land \neg Phase(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x) \land \neg Mixin(x)$
R03, R04, R18	gUFO Positive	RP03	AntiRigidType(x) -> NonRigidType(x) ^ ~SemiRigidType(x) ^ ~Category(x) ^ ~Kind(x) ^ ~SubKind(x) ^ ~Mixin(x) 	$AntiRigidType(x) \rightarrow NonRigidType(x) \land \neg SemiRigidType(x) \land \neg Category(x) \land \neg Kind(x) \land \neg SubKind(x) \land \neg Mixin(x)$
R03, R04, R19	gUFO Positive	RP04	SemiRigidType(x) -> Mixin(x) ^ NonRigidType(x) ^ ~AntiRigidType(x) ^ ~Category(x) ^ ~Kind(x) ^ ~SubKind(x) ^ ~Role(x) ^ ~Phase(x) ^ ~RoleMixin(x) ^ ~PhaseMixin(x) 	$SemiRigidType(x) \rightarrow Mixin(x) \land NonRigidType(x) \land \neg AntiRigidType(x) \land \neg Category(x) \land \neg Kind(x) \land \neg SubKind(x) \land \neg Role(x) \land \neg Phase(x) \land \neg RoleMixin(x) \land \neg PhaseMixin(x)$
R05, R20	gUFO Positive	RP05	NonSortal(x) -> ~Sortal(x) ^ ~Kind(x) ^ ~Phase(x) ^ ~Role(x) ^ ~SubKind(x) 	$NonSortal(x) \rightarrow \neg Sortal(x) \land \neg Kind(x) \land \neg Phase(x) \land \neg Role(x) \land \neg SubKind(x)$
R05, R21	gUFO Positive	RP06	Sortal(x) -> ~NonSortal(x) ^ ~Category(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) ^ ~Mixin(x) 	$Sortal(x) \rightarrow \neg NonSortal(x) \land \neg Category(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \land \neg Mixin(x)$
R06, R08, R17, R20	gUFO Positive	RP07	Kind(x) -> RigidType(x) ^ Sortal(x) ^ ~Category(x) ^ ~Phase(x) ^ ~Role(x) ^ ~SubKind(x) 	$Kind(x) \rightarrow RigidType(x) \land Sortal(x) \land \neg Category(x) \land \neg Phase(x) \land \neg Role(x) \land \neg SubKind(x)$
R07, R08, R17, R20	gUFO Positive	RP08	SubKind(x) -> RigidType(x) ^ Sortal(x) ^ ~Category(x) ^ ~Kind(x) ^ ~Phase(x) ^ ~Role(x) 	$SubKind(x) \rightarrow RigidType(x) \land Sortal(x) \land \neg Category(x) \land \neg Kind(x) \land \neg Phase(x) \land \neg Role(x)$
R09, R11, R18, R20	gUFO Positive	RP09	Role(x) -> AntiRigidType(x) ^ Sortal(x) ^ ~Kind(x) ^ ~Phase(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) ^ ~SubKind(x) 	$Role(x) \rightarrow AntiRigidType(x) \land Sortal(x) \land \neg Kind(x) \land \neg Phase(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \land \neg SubKind(x)$
R10, R11, R18, R20	gUFO Positive	RP10	Phase(x) -> AntiRigidType(x) ^ Sortal(x) ^ ~Kind(x) ^ ~PhaseMixin(x) ^ ~Role(x) ^ ~RoleMixin(x) ^ ~SubKind(x)  	$Phase(x) \rightarrow AntiRigidType(x) \land Sortal(x) \land \neg Kind(x) \land \neg PhaseMixin(x) \land \neg Role(x) \land \neg RoleMixin(x) \land \neg SubKind(x) $
R12, R17, R21	gUFO Positive	RP11	Category(x) -> NonSortal(x) ^ RigidType(x) ^ ~Kind(x) ^ ~Mixin(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) ^ ~SubKind(x) 	$Category(x) \rightarrow NonSortal(x) \land RigidType(x) \land \neg Kind(x) \land \neg Mixin(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x) \land \neg SubKind(x)$
R13, R15, R18, R21	gUFO Positive	RP12	RoleMixin(x) -> AntiRigidType(x) ^ NonSortal(x) ^ ~Category(x) ^ ~Mixin(x) ^ ~Phase(x) ^ ~PhaseMixin(x) ^ ~Role(x) 	$RoleMixin(x) \rightarrow AntiRigidType(x) \land NonSortal(x) \land \neg Category(x) \land \neg Mixin(x) \land \neg Phase(x) \land \neg PhaseMixin(x) \land \neg Role(x)$
R14, R15, R18, R21	gUFO Positive	RP13	PhaseMixin(x) -> AntiRigidType(x) ^ NonSortal(x) ^ ~Category(x) ^ ~Mixin(x) ^ ~Phase(x) ^ ~Role(x) ^ ~RoleMixin(x) 	$PhaseMixin(x) \rightarrow AntiRigidType(x) \land NonSortal(x) \land \neg Category(x) \land \neg Mixin(x) \land \neg Phase(x) \land \neg Role(x) \land \neg RoleMixin(x)$
R16, R21	gUFO Positive	RP14	Mixin(x) -> NonSortal(x) ^ SemiRigidType(x) ^ ~Category(x) ^ ~PhaseMixin(x) ^ ~RoleMixin(x) 	$Mixin(x) \rightarrow NonSortal(x) \land SemiRigidType(x) \land \neg Category(x) \land \neg PhaseMixin(x) \land \neg RoleMixin(x)$
R24	UFO Some	RS01	AntiRigidType(x) ^ Sortal(x) ^ Category(y) ^ subClassOf(x,y) -> E z (RigidType(z) ^ Sortal(z) ^ subClassOf(x,z) ^ subClassOf(z,y))	$AntiRigidType(x) \land Sortal(x) \land Category(y) \land subClassOf(x,y) \rightarrow \exists z (RigidType(z) \land Sortal(z) \land subClassOf(x,z) \land subClassOf(z,y))$
R25	UFO Some	RS02	Mixin(x) -> E y (subClassOf(y,x) ^ AntiRigidType(y))	$Mixin(x) \rightarrow \exists y (subClassOf(y,x) \land AntiRigidType(y))$
R25	UFO Some	RS03	Mixin(x) -> E y (subClassOf(y,x) ^ RigidType(y))	$Mixin(x) \rightarrow \exists y (subClassOf(y,x) \land RigidType(y))$
R31	UFO Some	RS04	NonSortal(x) -> E y (Sortal(y) ^ (subClassOf(y,x) v shareSuperClass(x,y)))	$NonSortal(x) \rightarrow \exists y (Sortal(y) \land (subClassOf(y,x) \lor shareSuperClass(x,y)))$
R31	UFO Some	RS05	NonSortal(x) ^ Sortal(y) ^ (subClassOf(y,x) v shareSuperClass(x,y)) -> E z (y != z ^ Sortal(z) ^ ~shareKind(y,z) ^ (subClassOf(z,x) v shareSuperClass(x,z)))	$NonSortal(x) \land Sortal(y) \land (subClassOf(y,x) \lor shareSuperClass(x,y)) \rightarrow \exists z (y \neq z \land Sortal(z) \land \neg shareKind(y,z) \land (subClassOf(z,x) \lor shareSuperClass(x,z)))$
R34	UFO Some	RS06	Role(x) ^ PhaseMixin(y) ^ subClassOf(x,y) -> E z (Phase(z) ^ subClassOf(x,z) ^ subClassOf(z,y))	$Role(x) \land PhaseMixin(y) \land subClassOf(x,y) \rightarrow \exists z (Phase(z) \land subClassOf(x,z) \land subClassOf(z,y))$
R35	UFO Some	RS07	Phase(x) -> E y (Phase (y) ^ shareKind(x,y) ^ ~isSubClassOf(x,y) ^ ~isSubClassOf(y,x))	$Phase(x) \rightarrow \exists y (Phase (y) \land shareKind(x,y) \land \neg isSubClassOf(x,y) \land \neg isSubClassOf(y,x))$
R36	UFO Some	RS08	PhaseMixin(x) -> E y (Category (y) ^ isSubClassOf(x,y))	$PhaseMixin(x) \rightarrow \exists y (Category (y) \land isSubClassOf(x,y))$
R37	UFO Some	RS09	PhaseMixin(x) ^ Category(y) ^ subClassOf(x,y) -> E z (PhaseMixin(z) ^ ~isSubClassOf(x,z) ^ ~isSubClassOf(z,x) ^ isSubClassOf(z,y))	$PhaseMixin(x) \land Category(y) \land subClassOf(x,y) \rightarrow \exists z (PhaseMixin(z) \land \neg isSubClassOf(x,z) \land \neg isSubClassOf(z,x) \land isSubClassOf(z,y))$
R28	UFO Unique	RU01	Sortal(x) -> E! y (subClassOf (x,y) ^ Kind(y))	$Sortal(x) \rightarrow \exists! y (subClassOf (x,y) \land Kind(y))$
R29	Auxiliary	RX01	Kind(z) ^ subClassOf(x,z) ^ subClassOf(y,z) -> shareKind(x,y)	$Kind(z) \land subClassOf(x,z) \land subClassOf(y,z) \rightarrow shareKind(x,y)$
R29	Auxiliary	RX02	Kind(z) ^ subClassOf(x,z) ^ shareKind(x,y) -> subClassOf(y,z)	$Kind(z) \land subClassOf(x,z) \land shareKind(x,y) \rightarrow subClassOf(y,z)$
